,wl,u,g,r,i,z,y
297,597,8e-06,4e-06,0.631656,3.1e-05,0.000125,8.6e-05
298,598,1e-06,4e-06,0.630602,2.3999999999999997e-05,0.00021700000000000002,0.000124
299,599,1e-06,2.9999999999999997e-06,0.629731,1.6e-05,0.000333,0.000114
300,600,0.0,2.9999999999999997e-06,0.629857,1.3e-05,0.000301,5.4000000000000005e-05
301,601,2e-06,2.9999999999999997e-06,0.630935,1.4e-05,0.000245,2.8999999999999997e-05
302,602,0.0,2e-06,0.633491,1.4e-05,0.000166,2.1e-05
303,603,0.0,2e-06,0.636831,1.1999999999999999e-05,0.000134,1.8e-05
304,604,0.0,2e-06,0.639539,9e-06,0.00015900000000000002,2.1e-05
305,605,0.0,2e-06,0.641798,9e-06,0.000305,3.2e-05
306,606,0.0,2e-06,0.642743,1e-05,0.0006450000000000001,7.1e-05
307,607,0.0,2e-06,0.642405,1.1999999999999999e-05,0.000201,0.0001
308,608,0.0,2e-06,0.641645,1.8e-05,9.499999999999999e-05,0.000144
309,609,0.0,2e-06,0.641045,2.8e-05,5.6e-05,8.6e-05
310,610,0.0,2e-06,0.641035,3.4e-05,4.3e-05,3.6e-05
311,611,0.0,2e-06,0.6425620000000001,3.7000000000000005e-05,7.7e-05,1.9e-05
312,612,0.0,2e-06,0.645066,4e-05,3.6e-05,1.3e-05
313,613,0.0,2e-06,0.648105,5.1000000000000006e-05,2.7000000000000002e-05,1.1000000000000001e-05
314,614,0.0,2e-06,0.6499379999999999,6.6e-05,2.7000000000000002e-05,1e-05
315,615,0.0,2e-06,0.651205,5.9e-05,3.1e-05,1.1000000000000001e-05
316,616,0.0,2e-06,0.6519039999999999,4e-05,4.1e-05,1e-05
317,617,0.0,2e-06,0.650556,3.3e-05,7.000000000000001e-05,8e-06
318,618,0.0,2e-06,0.6498180000000001,3.6e-05,0.00018700000000000002,5.999999999999999e-06
319,619,0.0,2e-06,0.649481,3.5000000000000004e-05,0.00026599999999999996,5e-06
320,620,0.0,2e-06,0.6504949999999999,2.5e-05,0.000144,4e-06
321,621,0.0,2e-06,0.651802,1.9e-05,0.00010800000000000001,5e-06
322,622,0.0,2e-06,0.654318,1.8e-05,5.6e-05,5e-06
323,623,0.0,2e-06,0.656947,1.9e-05,5.6e-05,7e-06
324,624,0.0,2e-06,0.6589499999999999,2.3e-05,6.4e-05,1e-05
325,625,0.0,2e-06,0.659422,3.1e-05,6e-05,1.5e-05
326,626,0.0,2e-06,0.658928,4.9e-05,4.4999999999999996e-05,2.7000000000000002e-05
327,627,0.0,2e-06,0.6572060000000001,7.1e-05,3.2e-05,5.1000000000000006e-05
328,628,0.0,2.9999999999999997e-06,0.6566540000000001,7.900000000000001e-05,2.6e-05,9.7e-05
329,629,0.0,2.9999999999999997e-06,0.656673,7.8e-05,2.7000000000000002e-05,0.00017
330,630,0.0,2.9999999999999997e-06,0.6583410000000001,7.5e-05,4.1e-05,0.000268
331,631,0.0,2.9999999999999997e-06,0.659957,9.3e-05,9.7e-05,0.000388
332,632,0.0,2.9999999999999997e-06,0.6629989999999999,0.000144,0.00020299999999999997,0.000571
333,633,0.0,2.9999999999999997e-06,0.664745,0.000229,0.00025499999999999996,0.0007599999999999999
334,634,0.0,2.9999999999999997e-06,0.66629,0.000286,0.00017600000000000002,0.000387
335,635,0.0,2.9999999999999997e-06,0.6669029999999999,0.000257,7.6e-05,0.000124
336,636,0.0,2.9999999999999997e-06,0.665316,0.000215,3.4e-05,5.2e-05
337,637,0.0,2.9999999999999997e-06,0.6638970000000001,0.00020400000000000003,1.9e-05,3.2e-05
338,638,0.0,2.9999999999999997e-06,0.6635179999999999,0.000215,1.5e-05,3.2e-05
339,639,0.0,2.9999999999999997e-06,0.664048,0.00020400000000000003,1.6e-05,8.9e-05
340,640,0.0,4e-06,0.666048,0.000182,1.7e-05,5.2e-05
341,641,0.0,4e-06,0.669331,0.000172,1.4e-05,3.4e-05
342,642,0.0,4e-06,0.672488,0.000177,1.1000000000000001e-05,3.8e-05
